,Review,Sentimen
0,it  beautiful package bintang buat safety nya,Positif
1,tipe kulitku kering,Netral
2,pengiriman agak lama karena beda provinsi tapi gapapa packingnya aman banget semoga cocok dan bisa memperbaiki kulit aku tipe kulitku berminyak,Negatif
3,top,Positif
4,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku jerawat masalah kulitku pori besar tipe kulitku sensitif,Positif
5,exp,Positif
6,no review found,Positif
7,pertama banget dulu sih beli bagus bgt ya di muka waktu itu kemasan masih biru mungkin sktr tahun yang lalu masih belum viral perskincare an semenjak hamil ud stop pake produk bayi aja ini mau coba lagi karena kangen sensasinya waktu make dulu emang feelnya beda tp smga ngaruh di jerawat yg suka muncul tiba tiba,Netral
8,tipe kulitku berminyak,Netral
9,tipe kulitku berminyak masalah kulitku pori besar,Netral
10,tipe kulitku berminyak tipe kulitku normal tipe kulitku kering tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif,Positif
11,barang sesuai pesanan,Positif
12,pengiriman oke saran untuk facial wash nya mungkin perlu ditambahkan fragrance biar baunya lebih enak soalnya baunya kurang begitu nyama digunakan,Positif
13,moga cocok soalnya dulu cocok bgt pake ini,Positif
14,pengiriman cepat mantabbb,Netral
15,alhamdulillah udh smp barangnya dan pengemasan barangnya juga ok thank you kurir sicepat team avoskin,Negatif
16,bahannya gampang menyerap,Netral
17,bagussss,Netral
18,baguusssssss,Netral
19,okelahhhhhhhh,Negatif
20,dapat gratis mini pouch makasih semoga cocok,Netral
21,alhamdulillah barangnya udah sampai semoga ccok dan selau dpt harga diskon yess,Negatif
22,cocok sama produknya,Positif
23,sudah berkali kali beli di toko official ini dan setiap kali pembelian selalu amanah thx,Positif
24,barang nya oke,Positif
25,repeat order,Netral
26,masalah kulitku pori besar,Negatif
27,ini beda nih dari pertama beli  first time nyobain jatuh cinta bgt waktu itu pilih shade strawberrypine sama raspberry muffin trus ini pembelian kedua ngerasa ini formulanya beda bgt ini lebih berminyak tapi short lasting  masa iya abis minum aer ilang lah coba itu rugi dong udahlah aku pindah haluan aja byeee,Negatif
28,tipe kulitku berminyak tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar overall worth it,Netral
29,kecepatan pengiriman baik ada bubble warp,Netral
30,tipe kulitku sensitif masalah kulitku jerawat masalah kulitku pori besar,Netral
31,dpt harga ceban yay blm dicoba,Netral
32,pembelian kesekian kalinya cocok di muka apalagi klo pas jerawatan kulitnya tetep bs bnafas,Netral
33,ternyata dapet ya baru pertama kali semoga cocok,Netral
34,mudahan cocok terima kasih,Positif
35,udh sering beli ini dan selalu cocok,Netral
36,barang datang dengan selamat walau agak lama datangnya,Netral
37,packing nya bagus bgt utk cream dg hrg segitu tekstur ringan cepet meresap di kulit ga ada bau menyengat samsek semoga cocok di kulit aku yg kering tp bruntusan tq,Positif
38,terima kasih,Netral
39,bahannya ringan mudah menyerap cocok di kulit aku yg berjerawat gak bikin breakout the best pokoknya,Netral
40,tipe kulitku kombinasi masalah kulitku jerawat,Netral
41,tipe kulitku kombinasi,Netral
42,tipe kulitku berminyak masalah kulitku pori besar original terimakasih,Netral
43,bahannya ringan cocok digunakan,Positif
44,tipe kulitku berminyak baru mau nyoba makai ini tapi sebelumnya nyoba punya temen cocokkk,Netral
45,barang datang sesuai packing nya aman serta pengiriman cepat,Netral
46,berasa cerah jika sudah pakai cuman di aku jadi bkin kering jadi mesti pake pelembab muka lg,Netral
47,udah beberapa tahun pake emang cocok karena ga white cast gitu nyaman ringan juga thanks seller tipe kulitku kombinasi,Netral
48,warnanya cantik bangettt,Netral
49,cocok di tipe kulitku kombinasi,Netral
50,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana,Netral
51,jujur agak panik pas liat dusnya penyok tapi ternyata isinya aman meskipun pas buka dus kemasan tutup botol moist nya agak kurang rapet untung isinya masih aman gak luber kemana mana baru sekali pake produk yang ini oke banget pas dipake ke kulit cocok suka sama packing barunya,Netral
