,Review
0,"kecewa banget. saya pesan yang free pouch tapi dikirimnya cotton pad. kaget pas unboxing (untung di videokan), segera kabarin customer servicenya dan disuruh isi googleform untuk dikirimkan ulang pouchnya. setelah 4 hari nggak ada kabar akhirnya saya tanya lagi, dan hanya dikabari kalau stock pouch ternyata sudah habis. padahal baik-baik dan sabar ikutin prosedur dari customer service, karena masih berpikiran positif. ternyata begini caranya ya."
1,"kali ini pengemasan tidak safe,, sepertinya tutup botol tidak kencang,, sehingga toner merembes keluar sampai dus basah,, saya memang tidak membuat video unboxing karna saya selalu mendapat produk dan packaging yg bagus dari avoskin.. saya kira dus basah karna hujan.. pas dibuka ternyata botol sudah kosong.. semoga mendapat tanggapan dari avoskin.."
2,"paket datangnya barang sudah pecah dan sy return ke seller. sudah ikuti komplain proses dan lain sebagainya.. tapi malah akhirnya tiba2 seakan - akan pesanan selesai, sy terima barang dan uangnya dilepas ke seller. sy kecewa sekali dan jd agak trauma untuk beli barang ksini. 
chat seller untuk nanyain brg ud diterima, tp dijawab   formalitas saja.. baru kali ini sy belanja, brg tidak diterima tp uang tidak kembali.. mungkin uangnya ga seberapa, cuman krn responsnya yg mengecewakan ð 
mohon improvement untuk selanjutnya.. thx."
3,"ga ada sabun nya, ga sesuai deskripsi"
4,ga sesuai harapan
5,nyesal beli disini
6,ga jelas
7,kalau ga da free ny di infokan lagi jangan asal acc aja
8,"yang sebelumnya ada bekas jerawat malah jadi muncul. di bagian yang ga pernah jerawat malah jadi jerawatan, terus muncul bruntusan di beberapa bagian "
9,cukup kecewa
10,"pesen yang special edition, dikirim yang biasa :("
11,pesen retinol dikirim refining :(
12,barang ga kekirim. respon admin kurang memuaskan mohon maaf
13,iritasi
14,"ternyata berat hanya 10 gr , sama kemasan 20 gr"
15,"mini banget,,,ini mah cepat habis kecewa berat"
16,i
17,ga ada isinya
18,"hadiahnya ga dikirim-kirim sudah nunggu 2 bulan chat penjual dibilanh over load, ini sudah mau 3 bulan, sangat mengecewakam pembeli, percuma chat cs jawabannya sama diulang-ulang"
19,"sedih banget, ini entah ekspektasi ku ketinggian atau gimana. isinya bahkan untuk sekali pakai 2 ruas jari pun ndak cukup, ditekan isinya angin semua. serius memang segini atau gmna? padahal sebelumnya beli di official serum dll ok ok aja isinya penuh. 


udah seneng packagingnya bagus, tebel.

tapi kalau memang isinya cuma segini, macam sekali pakai dengan harga diatas 50k. ok, sangat tidak rekomen.

saya jarang banget isi review panjang kali lebar apalagi semengecewakan ini."
20,yang rela beli tengah malam malah ga dapat gift dan harganya lebih mahal. sistem online shop paling buruk! pantas dapat bintang 1!
21,pake ekspedisi yang bener...
22,tidak ada keterangan detil mengenai ukuran berat isi produk. tidak tertulis di deskripsinya bahwa isinya hanya 10 g. bahkan di foto produk juga tidak menampilkan keterangan berat dari isi produk.
23,system free gift disini tidak transparan dan sangat membingungkan. itulah yang mengecewakan dan layak untuk dpt bintang 1.
24,hadiah nya tidak ada
25,system free gift disini tidak transparan dan sangat membingungkan. itulah yang mengecewakan dan layak untuk dpt bintang 1.
26,pelayanan bintang 1
27,botol terbuka.barang tumpah
28,"free giftnya smpai skrg blm dikirim2. beberapa x ditanyakan ke adminny cm jawab nanti dicek nanti dicek.
kl mmg gk niat kasih, gk usah dicantumkan lain x :)"
29,hadiah tidak ada
30,gadapet gift
31,"kecewa banget, ga sesuai dengan promonya, di gambar kedua, toko harusnya kasih retinol mask sheet, tapi di gambar pertama dikasihnya pouch yang kesannya murahan dan tidak berguna sama sekali, komplain di gambar ketiga ga pernah ditanggapi oleh toko yang labelnya âofficial storeâ, sebagai official store harusnya sudah ga ada kesalahan dan ketidakbenaran hal-hal sepele seperti ini, di gambar keempat, toko langsung update gambar produk seolah cuci tangan. dalam hal pengiriman juga lelet banget, giliran nanya-nanya untuk beli produknya gerak cepet banget, giliran komplain boro-boro dibales. kecewa banget."
32,"saya ga kecewa dgn produknya. tapi saya kecewa dgn pelayanannya. saya order satu dikirim 2. untung sy jujur yah, sy chat dong adminnya kok dikirim dua? apa emang dpt brgnya dua sesuai dgn di gmbr? adminnya blg bukan itu hanya memperlihatkan tampak depan dan belakang. adminnya minta mau ga gw bayar brgnya atau balikin brg lebihnya. lucu ya dia yg salah jadi nyusahin saya. kalau gw ga jujur mah diem2 aja gw dpt dua barang. saya di chat terus bisa gak dikirim balik brgnya. saya bilang ok nanti saya kirim balik. skr diteror mulu udah dikirim balik blm barangnya. dengan saya bilang saya akan kirim balik aja udah niat baik. saya di chat mulu kok jadi kayak saya yg salah yah. adminnya yg salah kok jadi kaya saya yg curi barangnya yah. rugi waktu tau!! sayang banget nih avoskin. produknya bagus tapi karyawannya ga kompeten. gak suka saya diteror mulu tunggu aja brgnya dtg!!!"
33,"pesan 15 oct, sampai 21 oct. dalam keadaan kuyup karena sudah habis isinya hahaha"
34,isinya dikit dipencet ga keluar2â¦ nyesel..
35,"kecewa, sudah hubungi pihak avoskinnya tapi tidak di respon"
36,bocor basah semuanya hampir habis essence nya
37,"bocor dong sampe hampir habis , sudah saya videokan pas unboxingnya juga
sedih banget sih padahal selalu pake avoskin, tapi baru sekarang dapet paket tumpeh tumpeh ð¥ºâ¹ï¸ð"
38,barang order tidak sampai
39,"salah kirim, barangnya kurang toner, udah gitu yang ngaco lagi.. barang yg salah kirim berupa sheetmask gw disuru beli coyyy.. literally dipaksa sih.. 35rb.. bukan masalah nominalnya tp masalah pelayanan yang sama sekali ga memuaskan.. harusnya dia tinggal ngirim lg barangnya yg kurang kan mslh selesai? ga panjang x lebar kayak gini"
40,"yang bermasalah bukan barang ini, tp kualitas pelayanan cs di sini.. ga bakal lg dah beli di sini"
41,misal tau isinya bakal beginian ga bakal dah purchase please lah avoskin g sah pelit2 amat :(
42,"tumpah semua, yang di terima botol kosong"
43,"mau ganti pesanan,gak mau dirubah,alasan otomatis system. padahal sy paham sekali sistem di tokped spt apa. fokusnya hanya jualan,bukan kepuasam pelanggan. bgmna mau mempertahankan image jika byk customer yg kecewa."
44,"bara tiba dengan selamat tapi  cs avoskin tolong diperbaiki lagi dia ngomong soal sop tapi ga paham yang saya bilang, cuma minta konfirmasi pesanan karena saya udah transaksi. ngomong kemana2 bilang sop! masa harus nunggu 2 hari untuk konfirmasi pesanan padahal udah transaksi loh, udah bayar!"
45,.
46,saya pesan masker apa kok ygdikirim malah yg ini
47,"produk kemungkinan besar tidak original, aroma sangat buruk seperti telur busuk. saya pengguna serum avo ysb aa jadi familiar dengan baunya. tapi produk ini sangat buruk, baunya bahan kimia menyengat seperti telur busuk. mau complain tapi sudah lewat 3 hari. hati hati aja."
48,kok isinya seperti kosong...isinya ga bisa keluar2 dari botol..jadi ga bisa kepake..padahal kemasan botol ampul dlm kardus segel
49,sekali pake wajah langsung breakout. jerawat muncul 5... syok. padahal berharap jerawat hilang eh malah muncul semua...
50,"sunscreen blepotan keluar dr tube, sebaiknya tube di seal"
51,"warnanya keruh, banyak gelembungnya, terus baunya anehð« itu gapapakah ? sumpah avoskin kali ini mengecewakan :"""
52,baru kali ini biasa nya beli ini baik2 ajah ð¤¦ð»ââï¸
53,"pembelian kedua kenapa dapet barang kek gini yaa, apa karna barang sale? encer banget creamnya. udah coba masukin kulkas tapi tetep gini, aman ga ya tetep dipakenya?"
54,"isinya kosong pertama kali beli barang begini, karena officialnya store jdi gak buat video dari 4 barang 1 barang isinya kosong"
55,no review found
56,hmm agak ragu dengan produk iniâ¦ baru sekali saya pakai kok jadi ada kerak putih2nya gini di kulit saya ya?
57,no review found
58,unproffesional with handling complainðð½
59,"sunscreen tidak sesuai foto, ternyata hanya yang 5ml. tidak dapat free wallet juga. fotonya bener2 missleading. kecewa banget."
60,syng banget kulit jd kemerah2an :( dan gatel.. baru coba tonnernya padahal ð¢ð¢ð¢
61,syng banget kulit jd kemerah2an :( dan gatel.. baru coba tonnernya padahal ð¢ð¢ð¢
62,syng banget kulit jd kemerah2an :( dan gatel.. baru coba tonnernya padahal ð¢ð¢ð¢
63,barang tidak dikirim. pesanannya kurang. mengecewakan sekali qc nya
64,"digambarnya tertulis free toner 20ml ternyata tonernya tdk datang. setelah chat seller katanya limited stock. 

klo memang limited stock ko knp tdk ditulis atau dijelaskan. masa sekelas official store seperti ini. klo memang sdh habis yah gambarnya knp gk diganti aja

ternyata banyak yg mengeluhkan hal yg sama, ttg free gift yg tdk dikirim, harusnya pihak store bisa memperbaiki hal tsb

sisa umur simpan produk jg masa kurang dr 1thn hanya 9bln (exp nov)"
65,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
66,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
67,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
68,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
69,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
70,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
71,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
72,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
73,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
74,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
75,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
76,"i purchased the first date of the campaign (free mirror), but the package didn't include the mirror as the campaign said.

their product packaging also so poor looks cheap.
customer admin doesn't know their campaign as well.

totally bad experience"
77,"ternyata yang dikirim ada bintik"" putihnya bukan sabun kea biasa. kualitas barangnya tolong diperhatikan"
